metric,ar,tilbyder,absolute,value
Abonnement,2020,Nortel,12371,0.8098642261413777
Abonnement,2020,SMB mobil,0,0.0
Abonnement,2020,Saga mobil,1897,0.12418660067821465
Abonnement,2020,Unifon,34727,2.273393822747686
Abonnement,2021,Nortel,25787,1.6072034025070054
Abonnement,2021,SMB mobil,0,0.0
Abonnement,2021,Saga mobil,2993,0.1865420476869534
Abonnement,2021,Unifon,39773,2.4788963791023044
Abonnement,2022,Nortel,60380,3.6328280585728847
Abonnement,2022,SMB mobil,1596,0.09602506759659364
Abonnement,2022,Saga mobil,2673,0.16082393839955814
Abonnement,2022,Unifon,54099,3.254924894679273
Abonnement,2023,Nortel,0,0.0
Abonnement,2023,SMB mobil,6368,0.37249982597566234
Abonnement,2023,Saga mobil,2340,0.136879647107891
Abonnement,2023,Unifon,126907,7.423498023726975
Abonnement,2024,Nortel,0,0.0
Abonnement,2024,SMB mobil,11820,0.6816451754284791
Abonnement,2024,Saga mobil,2440,0.14071186362482987
Abonnement,2024,Unifon,124531,7.181552905353971
Abonnement,2025,Nortel,0,0.0
Abonnement,2025,SMB mobil,13397,0.7636842678304628
Abonnement,2025,Saga mobil,2300,0.13110948839367506
Abonnement,2025,Unifon,128746,7.339053127274821
Omsetning,2020,Nortel,31555,0.6200896875085974
Omsetning,2020,SMB mobil,0,0.0
Omsetning,2020,Saga mobil,6304,0.12388037997319594
Omsetning,2020,Unifon,144383,2.8372812344019587
Omsetning,2021,Nortel,101663,1.9545453758947415
Omsetning,2021,SMB mobil,0,0.0
Omsetning,2021,Saga mobil,8403,0.16155380810760564
Omsetning,2021,Unifon,140647,2.7040412291931943
Omsetning,2022,Nortel,185214,3.4307516593987897
Omsetning,2022,SMB mobil,2510,0.046493173653670686
Omsetning,2022,Saga mobil,12541,0.23229915967756334
Omsetning,2022,Unifon,174056,3.2240700531726314
Omsetning,2023,Nortel,0,0.0
Omsetning,2023,SMB mobil,23211,0.4261983350887321
Omsetning,2023,Saga mobil,12218,0.22434583852975437
Omsetning,2023,Unifon,446338,8.195618994736742
Omsetning,2024,Nortel,0,0.0
Omsetning,2024,SMB mobil,50479,0.9062108809574717
Omsetning,2024,Saga mobil,10739,0.1927890538759145
Omsetning,2024,Unifon,491312,8.820148583469905
Omsetning,2025,Nortel,0,0.0
Omsetning,2025,SMB mobil,47986,0.8454199051584955
Omsetning,2025,Saga mobil,10280,0.18111358781789136
Omsetning,2025,Unifon,476944,8.402824808192253
