metric,ar,cr2,hhi
Abonnement,2020,81.23398898105995,0.3492818140878116
Abonnement,2021,79.33866768716935,0.33436320990464585
Abonnement,2022,77.6214763869815,0.32203557266273297
Abonnement,2023,76.44841045610126,0.31816460625942844
Abonnement,2024,75.03766468614457,0.3115138654603523
Abonnement,2025,73.27146284666328,0.3021461829705684
Omsetning,2020,87.76945484833783,0.42200720558809
Omsetning,2021,86.29786938491758,0.40742073692509645
Omsetning,2022,84.99704989635403,0.3935525662275501
Omsetning,2023,83.74087914925114,0.3786916874054091
Omsetning,2024,81.96328055597436,0.36879619160432586
Omsetning,2025,81.09621282243845,0.3650576072798388
