metric,period,ar,tilbyder,absolute,value
Abonnement,Helår,2020,Telenor,125745,40.49901928892811
Abonnement,Helår,2020,Telia,99280,31.975367887429183
Abonnement,Helår,2020,Lyse Tele (Ice),78379,25.24372844126523
Abonnement,Helår,2020,Andre,6026,1.9408094972768761
Abonnement,Helår,2020,Unifon,1059,0.34107488510059936
Abonnement,Helår,2021,Telenor,109660,38.23143861214927
Abonnement,Helår,2021,Telia,99343,34.63455960283371
Abonnement,Helår,2021,Lyse Tele (Ice),66531,23.195110726836614
Abonnement,Helår,2021,Andre,9256,3.2269760696156635
Abonnement,Helår,2021,Unifon,2042,0.7119149885647348
Abonnement,Helår,2022,Telia,99011,36.90515682949103
Abonnement,Helår,2022,Telenor,95868,35.73364146336918
Abonnement,Helår,2022,Lyse Tele (Ice),57453,21.414913245242932
Abonnement,Helår,2022,Unifon,8671,3.2320107348528615
Abonnement,Helår,2022,Andre,7282,2.7142777270440015
Abonnement,Helår,2023,Telia,93918,37.68356685444653
Abonnement,Helår,2023,Telenor,88423,35.4787584059576
Abonnement,Helår,2023,Lyse Tele (Ice),50907,20.425875102315953
Abonnement,Helår,2023,Unifon,8117,3.256857174956265
Abonnement,Helår,2023,Andre,7863,3.1549424623236555
Abonnement,Helår,2024,Telia,89446,38.69708926037448
Abonnement,Helår,2024,Telenor,79328,34.31973142283598
Abonnement,Helår,2024,Lyse Tele (Ice),45616,19.734883881909113
Abonnement,Helår,2024,Unifon,9810,4.244107569307444
Abonnement,Helår,2024,Andre,6944,3.0041878655729763
Abonnement,Helår,2025,Telia,90970,42.0190580008037
Abonnement,Helår,2025,Telenor,68505,31.642470796362073
Abonnement,Helår,2025,Lyse Tele (Ice),40597,18.751760994378674
Abonnement,Helår,2025,Unifon,10230,4.725238686910211
Abonnement,Helår,2025,Andre,6195,2.861471521545333
Omsetning,Helår,2020,Telenor,466907,38.539165489763626
Omsetning,Helår,2020,Telia,405533,33.47326854932634
Omsetning,Helår,2020,Lyse Tele (Ice),318732,26.308590993245637
Omsetning,Helår,2020,Andre,16309,1.3461679734348704
Omsetning,Helår,2020,Unifon,4032,0.33280699422952953
Omsetning,Helår,2021,Telenor,401703,35.584459531284324
Omsetning,Helår,2021,Telia,396857,35.1551814554706
Omsetning,Helår,2021,Lyse Tele (Ice),303333,26.87045121147482
Omsetning,Helår,2021,Andre,18773,1.6629874777654154
Omsetning,Helår,2021,Unifon,8206,0.7269203240048473
Omsetning,Helår,2022,Telia,377903,37.212977861457354
Omsetning,Helår,2022,Telenor,336176,33.10402416904149
Omsetning,Helår,2022,Lyse Tele (Ice),255607,25.170209371805804
Omsetning,Helår,2022,Andre,23843,2.347875066222622
Omsetning,Helår,2022,Unifon,21985,2.164913531472732
Omsetning,Helår,2023,Telia,357271,38.578890137882404
Omsetning,Helår,2023,Telenor,296784,32.0473739281422
Omsetning,Helår,2023,Lyse Tele (Ice),219540,23.706400857810188
Omsetning,Helår,2023,Unifon,28928,3.1237075886614423
Omsetning,Helår,2023,Andre,23556,2.5436274875037657
Omsetning,Helår,2024,Telia,327930,39.096021488326514
Omsetning,Helår,2024,Telenor,264286,31.508343655852958
Omsetning,Helår,2024,Lyse Tele (Ice),194190,23.151454312865933
Omsetning,Helår,2024,Unifon,29378,3.5024636943373775
Omsetning,Helår,2024,Andre,22997,2.7417168486172194
Omsetning,Helår,2025,Telia,314491,40.707541918965724
Omsetning,Helår,2025,Telenor,226420,29.307680160297814
Omsetning,Helår,2025,Lyse Tele (Ice),181268,23.46323013557488
Omsetning,Helår,2025,Unifon,26881,3.479461842544676
Omsetning,Helår,2025,Andre,23502,3.0420859426169033
