ar,tilbyder,inntekter,datatrafikk_gb,value
2020,Chili mobil,191428,10957000,17.470840558547046
2021,Chili mobil,200133,15041482,13.305404347789667
2022,Chili mobil,212344,15610585,13.6025651825348
2023,Chili mobil,225484,18246600,12.357589907160786
2024,Chili mobil,235317,18722437,12.56871634819762
2025,Chili mobil,233153,21041335,11.080713272232964
2020,Fjordkraft,292001,4881292,59.8204327870572
2021,Fjordkraft,284015,5196359,54.656539319165596
2022,Fjordkraft,292989,5740291,51.04079218283533
2023,Fjordkraft,249571,6209512,40.19172521125654
2024,Fjordkraft,264235,4971537,53.14955918059143
2025,Fjordkraft,263556,9438652,27.923055114226056
2020,Happybytes,15726,535956,29.341960907238654
2021,Happybytes,38493,1894251,20.320960632988974
2022,Happybytes,83608,4083127,20.47646325965369
2023,Happybytes,114987,6005838,19.14587106745137
2024,Happybytes,110622,5234543,21.133076946736324
2025,Happybytes,145728,7324867,19.89496874141196
2020,Ice,1359987,37159970,36.598172711118984
2021,Ice,1542116,56445173,27.320600115797323
2022,Ice,1651755,84185868,19.620335802678902
2023,Ice,1876847,108395040,17.3148789833926
2024,Ice,2223582,135612079,16.39663676271787
2025,Ice,2537547,170097436,14.918196650536226
2022,Plussmobil,13295,356476,37.29563841605045
2023,Plussmobil,77459,2509163,30.870453613416107
2024,Plussmobil,102195,3393647,30.113621127948782
2025,Plussmobil,118775,3992191,29.751833016005495
2020,Telenor,10122289,169506863,59.716101288477034
2021,Telenor,10129387,224783593,45.06283961748044
2022,Telenor,10185874,279323386,36.46624131930006
2023,Telenor,9850160,338407793,29.107367512662453
2024,Telenor,10234886,389117891,26.302789557419757
2025,Telenor,10707664,408825962,26.191252501718566
2020,Telia,5669129,128671627,44.058889532810525
2021,Telia,5799598,182550290,31.76986462196253
2022,Telia,6007656,210806785,28.49839961270696
2023,Telia,6243781,254040331,24.577912394548093
2024,Telia,6247215,296340055,21.081237229304016
2025,Telia,6400522,322144924,19.86845522979589
2020,Unifon,175938,2582721,68.12117917498638
2021,Unifon,249543,4886704,51.065708092816756
2022,Unifon,360160,8183723,44.00930969926524
2023,Unifon,449019,13473807,33.325325203188676
2024,Unifon,494888,14041024,35.24586241003505
2025,Unifon,480968,16535859,29.086363157789382
