metric,ar,tilbyder,absolute,value
Abonnement,2020,Chili mobil,70650,1.6401609841801656
Abonnement,2020,Fjordkraft,166872,3.873983634141721
Abonnement,2020,Happybytes,13649,0.31686563726928635
Abonnement,2020,Lycamobile,61910,1.4372592573332492
Abonnement,2020,Plussmobil,0,0.0
Abonnement,2020,Xplora,55168,1.2807417009943578
Abonnement,2021,Chili mobil,80380,1.8597755173671984
Abonnement,2021,Fjordkraft,152210,3.5217271895802593
Abonnement,2021,Happybytes,27581,0.6381496459878664
Abonnement,2021,Lycamobile,59356,1.3733370939144989
Abonnement,2021,Plussmobil,0,0.0
Abonnement,2021,Xplora,74759,1.7297207999857473
Abonnement,2022,Chili mobil,84821,1.9464880441100842
Abonnement,2022,Fjordkraft,137085,3.1458520122001734
Abonnement,2022,Happybytes,41208,0.9456488289655669
Abonnement,2022,Lycamobile,61435,1.4098217775067852
Abonnement,2022,Plussmobil,11694,0.26835608148717094
Abonnement,2022,Xplora,82313,1.8889339948224304
Abonnement,2023,Chili mobil,82829,1.9072292066793204
Abonnement,2023,Fjordkraft,114775,2.642821139898091
Abonnement,2023,Happybytes,48928,1.1266212392327057
Abonnement,2023,Lycamobile,25973,0.5980570112530875
Abonnement,2023,Plussmobil,45555,1.048954188874385
Abonnement,2023,Xplora,86061,1.9816495763081647
Abonnement,2024,Chili mobil,88116,2.0192275302044274
Abonnement,2024,Fjordkraft,111958,2.5655803239664454
Abonnement,2024,Happybytes,40904,0.937338087242747
Abonnement,2024,Lycamobile,23043,0.5280432609117598
Abonnement,2024,Plussmobil,48518,1.1118171649922648
Abonnement,2024,Xplora,88777,2.0343747157038274
Abonnement,2025,Chili mobil,91955,2.1061877783618437
Abonnement,2025,Fjordkraft,112213,2.5701881265109843
Abonnement,2025,Happybytes,75298,1.7246667101853093
Abonnement,2025,Lycamobile,23276,0.5331262762128245
Abonnement,2025,Plussmobil,48637,1.1140085365253112
Abonnement,2025,Xplora,86587,1.9832361607853513
Omsetning,2020,Chili mobil,191428,1.483575830985134
Omsetning,2020,Fjordkraft,291061,2.255736177269595
Omsetning,2020,Happybytes,15221,0.11796345217744908
Omsetning,2020,Lycamobile,36901,0.28598445232245245
Omsetning,2020,Plussmobil,0,0.0
Omsetning,2020,Xplora,33964,0.2632225668323291
Omsetning,2021,Chili mobil,200133,1.509665129113923
Omsetning,2021,Fjordkraft,284015,2.142413003579074
Omsetning,2021,Happybytes,37583,0.2835001951076962
Omsetning,2021,Lycamobile,29104,0.21954047517266823
Omsetning,2021,Plussmobil,0,0.0
Omsetning,2021,Xplora,42483,0.3204624108974871
Omsetning,2022,Chili mobil,212344,1.5552655631476535
Omsetning,2022,Fjordkraft,292989,2.1459316113526534
Omsetning,2022,Happybytes,82015,0.6007003031004163
Omsetning,2022,Lycamobile,21717,0.15906125077646455
Omsetning,2022,Plussmobil,13295,0.09737621812741613
Omsetning,2022,Xplora,57886,0.42397290428910195
Omsetning,2023,Chili mobil,225484,1.6371828205150731
Omsetning,2023,Fjordkraft,249571,1.812072491612564
Omsetning,2023,Happybytes,113140,0.8214811885236886
Omsetning,2023,Lycamobile,17368,0.12610469579529276
Omsetning,2023,Plussmobil,77459,0.5624103887383454
Omsetning,2023,Xplora,73583,0.5342677240157201
Omsetning,2024,Chili mobil,235317,1.6185458612067538
Omsetning,2024,Fjordkraft,264235,1.817448232112285
Omsetning,2024,Happybytes,108587,0.746877783716679
Omsetning,2024,Lycamobile,20738,0.14263909564419766
Omsetning,2024,Plussmobil,102195,0.7029126424611235
Omsetning,2024,Xplora,108080,0.743390561154638
Omsetning,2025,Chili mobil,233153,1.5120008783305339
Omsetning,2025,Fjordkraft,263556,1.7091648123304533
Omsetning,2025,Happybytes,143314,0.9293935479151549
Omsetning,2025,Lycamobile,22782,0.1477416289309004
Omsetning,2025,Plussmobil,118775,0.7702577463026817
Omsetning,2025,Xplora,120821,0.7835260885374558
