metric,segment,ar,tilbyder,absolute,value
Abonnement,Bedrift,2020,Telenor,887930,58.12810139178025
Abonnement,Bedrift,2020,Telia,524841,34.35857653482069
Abonnement,Bedrift,2020,Øvrige,73358,4.802361967608049
Abonnement,Bedrift,2020,Lyse Tele (Ice),41411,2.71096010579101
Abonnement,Bedrift,2021,Telenor,905214,56.41846747574268
Abonnement,Bedrift,2021,Telia,563880,35.14444699288984
Abonnement,Bedrift,2021,Øvrige,88012,5.485445606757148
Abonnement,Bedrift,2021,Lyse Tele (Ice),47358,2.9516399246103373
Abonnement,Bedrift,2022,Telenor,880888,52.99958004074447
Abonnement,Bedrift,2022,Telia,606478,36.48940535454067
Abonnement,Bedrift,2022,Øvrige,120581,7.2548863883865025
Abonnement,Bedrift,2022,Lyse Tele (Ice),54119,3.256128216328353
Abonnement,Bedrift,2023,Telenor,888904,51.996951210595185
Abonnement,Bedrift,2023,Telia,621733,36.3686297586882
Abonnement,Bedrift,2023,Øvrige,136171,7.965401036892574
Abonnement,Bedrift,2023,Lyse Tele (Ice),62723,3.669017993824037
Abonnement,Bedrift,2024,Telenor,892910,51.493045143133955
Abonnement,Bedrift,2024,Telia,628506,36.24518465548661
Abonnement,Bedrift,2024,Øvrige,139402,8.039145579110055
Abonnement,Bedrift,2024,Lyse Tele (Ice),73222,4.222624622269382
Abonnement,Bedrift,2025,Telenor,890041,50.73600876495432
Abonnement,Bedrift,2025,Telia,626519,35.71416763431169
Abonnement,Bedrift,2025,Øvrige,146056,8.325794537750697
Abonnement,Bedrift,2025,Lyse Tele (Ice),91643,5.224029062983288
Abonnement,Privat,2020,Telenor,1803567,41.87034997529892
Abonnement,Privat,2020,Telia,1523701,35.37317667029444
Abonnement,Privat,2020,Lyse Tele (Ice),597979,13.88226221031948
Abonnement,Privat,2020,Øvrige,382257,8.874211144087155
Abonnement,Privat,2021,Telenor,1731456,40.06120276435108
Abonnement,Privat,2021,Telia,1501449,34.73946368220282
Abonnement,Privat,2021,Lyse Tele (Ice),646266,14.952845042384048
Abonnement,Privat,2021,Øvrige,442856,10.246488511062054
Abonnement,Privat,2022,Telenor,1707586,39.18600032173356
Abonnement,Privat,2022,Telia,1477635,33.9090421129037
Abonnement,Privat,2022,Lyse Tele (Ice),703186,16.13684278404633
Abonnement,Privat,2022,Øvrige,469236,10.768114781316413
Abonnement,Privat,2023,Telenor,1672915,38.52071555001189
Abonnement,Privat,2023,Telia,1443433,33.236639045319286
Abonnement,Privat,2023,Lyse Tele (Ice),819352,18.866484745090663
Abonnement,Privat,2023,Øvrige,407197,9.376160659578158
Abonnement,Privat,2024,Telenor,1628046,37.30758663170363
Abonnement,Privat,2024,Telia,1426250,32.68331818232858
Abonnement,Privat,2024,Lyse Tele (Ice),905282,20.74504445275006
Abonnement,Privat,2024,Øvrige,404269,9.264050733217731
Abonnement,Privat,2025,Telenor,1585092,36.30581695371792
Abonnement,Privat,2025,Telia,1382711,31.670371477423558
Abonnement,Privat,2025,Lyse Tele (Ice),957108,21.922126824776768
Abonnement,Privat,2025,Øvrige,441034,10.101684744081751
Omsetning,Bedrift,2020,Telenor,3383563,66.49065198338305
Omsetning,Bedrift,2020,Telia,1318191,25.903870868852653
Omsetning,Bedrift,2020,Øvrige,252849,4.968754789949654
Omsetning,Bedrift,2020,Lyse Tele (Ice),134177,2.636722357814643
Omsetning,Bedrift,2021,Telenor,3315231,63.737735666593544
Omsetning,Bedrift,2021,Telia,1431506,27.521747664987043
Omsetning,Bedrift,2021,Øvrige,312742,6.012693211375557
Omsetning,Bedrift,2021,Lyse Tele (Ice),141884,2.7278234570438555
Omsetning,Bedrift,2022,Telenor,3290390,60.948475561076286
Omsetning,Bedrift,2022,Telia,1544636,28.611565649287357
Omsetning,Bedrift,2022,Øvrige,400606,7.420495746893385
Omsetning,Bedrift,2022,Lyse Tele (Ice),163010,3.0194630427429714
Omsetning,Bedrift,2023,Telenor,3171300,58.23113093218285
Omsetning,Bedrift,2023,Telia,1606077,29.4906442386931
Omsetning,Bedrift,2023,Øvrige,483664,8.880995715064259
Omsetning,Bedrift,2023,Lyse Tele (Ice),185015,3.3972291140597894
Omsetning,Bedrift,2024,Telenor,3195059,57.35845066465458
Omsetning,Bedrift,2024,Telia,1608747,28.880604530749217
Omsetning,Bedrift,2024,Øvrige,554593,9.956183979533016
Omsetning,Bedrift,2024,Lyse Tele (Ice),211938,3.8047608250631875
Omsetning,Bedrift,2025,Telenor,3293376,58.02287387094705
Omsetning,Bedrift,2025,Telia,1598791,28.167585037057812
Omsetning,Bedrift,2025,Øvrige,537993,9.478389343473815
Omsetning,Bedrift,2025,Lyse Tele (Ice),245836,4.331151748521317
Omsetning,Privat,2020,Telenor,6738726,52.22543737191596
Omsetning,Privat,2020,Telia,4350938,33.719970218122725
Omsetning,Privat,2020,Lyse Tele (Ice),1225810,9.500084049250303
Omsetning,Privat,2020,Øvrige,587675,4.554508360711017
Omsetning,Privat,2021,Telenor,6814156,51.401286632101716
Omsetning,Privat,2021,Telia,4368092,32.94986920278762
Omsetning,Privat,2021,Lyse Tele (Ice),1400232,10.562383130565406
Omsetning,Privat,2021,Øvrige,674301,5.086461034545264
Omsetning,Privat,2022,Telenor,6895484,50.50441173960947
Omsetning,Privat,2022,Telia,4463020,32.688379768862035
Omsetning,Privat,2022,Lyse Tele (Ice),1488745,10.903975769544953
Omsetning,Privat,2022,Øvrige,805982,5.903232721983536
Omsetning,Privat,2023,Telenor,6678860,48.493528820782416
Omsetning,Privat,2023,Telia,4637704,33.67320659307994
Omsetning,Privat,2023,Lyse Tele (Ice),1691832,12.283968199950584
Omsetning,Privat,2023,Øvrige,764287,5.549296386187063
Omsetning,Privat,2024,Telenor,7039827,48.420993189873904
Omsetning,Privat,2024,Telia,4638468,31.904083358788224
Omsetning,Privat,2024,Lyse Tele (Ice),2011644,13.836391210245749
Omsetning,Privat,2024,Øvrige,848852,5.838532241092124
Omsetning,Privat,2025,Telenor,7414288,48.08177449226704
Omsetning,Privat,2025,Telia,4801731,31.139301186375267
Omsetning,Privat,2025,Lyse Tele (Ice),2291711,14.861781940956137
Omsetning,Privat,2025,Øvrige,912433,5.917142380401556
