period,ar,grossist,abonnement,value
Helår,2020,Lyse Tele (Ice),639390,10.957757987771815
Helår,2020,Telenor,3008895,51.565935064071496
Helår,2020,Telia,2186759,37.47630694815669
Helår,2021,Lyse Tele (Ice),693624,11.703788970572974
Helår,2021,Telenor,3027762,51.08861213152943
Helår,2021,Telia,2205105,37.20759889789759
Helår,2022,Lyse Tele (Ice),757305,12.580425399300863
Helår,2022,Telenor,3032035,50.36846465501904
Helår,2022,Telia,2230369,37.051109945680096
Helår,2023,Lyse Tele (Ice),882075,14.57390323354528
Helår,2023,Telenor,2907583,48.03994363914779
Helår,2023,Telia,2262770,37.386153127306926
Helår,2024,Lyse Tele (Ice),978504,16.046607619983774
Helår,2024,Telenor,2864553,46.97615747881192
Helår,2024,Telia,2254830,36.977234901204305
Helår,2025,Lyse Tele (Ice),1048751,17.135883052264273
Helår,2025,Telenor,2858055,46.698688475090044
Helår,2025,Telia,2213398,36.16542847264569
